framework,gpu,quantization,chunked_prefill_size,num_prompts,input_len,output_len,requests_per_sec,input_tokens_per_sec,output_tokens_per_sec,total_tokens_per_sec,requests_per_hour,successful_requests,total_output_tokens,model,tp,gpu_hourly_cost_usd,tokens_per_dollar
sglang,NVIDIA H100 80GB HBM3,bf16,32768,50,4000,1000,5.076932276054339,10493.917475958797,2428.8044008643956,12922.721876823192,18276.95619379562,50,23920,Qwen/Qwen2.5-7B-Instruct,1,2.99,15559130.018917555
sglang,NVIDIA H100 80GB HBM3,bf16,8192,50,4000,1000,5.050507310918408,10439.297601522132,2416.1626975433664,12855.460299065498,18181.82631930627,50,23920,Qwen/Qwen2.5-7B-Instruct,1,2.99,15478146.179476853
sglang,NVIDIA H100 80GB HBM3,bf16,16384,50,4000,1000,5.038372630106164,10414.21545897684,2410.357466242789,12824.572925219629,18138.141468382193,50,23920,Qwen/Qwen2.5-7B-Instruct,1,2.99,15440957.368157411
sglang,NVIDIA H100 80GB HBM3,bf16,4096,50,4000,1000,5.013124643737921,10362.028376113409,2398.2788295642217,12760.30720567763,18047.248717456518,50,23920,Qwen/Qwen2.5-7B-Instruct,1,2.99,15363580.582086775
sglang,NVIDIA H100 80GB HBM3,bf16,2048,50,4000,1000,4.874685266721472,10075.876952607949,2332.049431599552,12407.9263842075,17548.866960197298,50,23920,Qwen/Qwen2.5-7B-Instruct,1,2.99,14939309.358912038
sglang,NVIDIA H100 80GB HBM3,bf16,32768,50,4000,1000,2.479323216548279,5124.711502140962,1186.1082267966965,6310.819728937658,8925.563579573804,50,23920,Qwen/Qwen2.5-14B-Instruct,1,2.99,7598311.379322931
sglang,NVIDIA H100 80GB HBM3,bf16,8192,50,4000,1000,2.471280882453832,5108.088158414421,1182.260774165913,6290.348932580335,8896.611176833794,50,23920,Qwen/Qwen2.5-14B-Instruct,1,2.99,7573664.266651908
sglang,NVIDIA H100 80GB HBM3,bf16,16384,50,4000,1000,2.465221095749335,5095.562700491961,1179.3617722064819,6274.9244726984425,8874.795944697606,50,23920,Qwen/Qwen2.5-14B-Instruct,1,2.99,7555093.010606819
sglang,NVIDIA H100 80GB HBM3,bf16,4096,50,4000,1000,2.4575121389912082,5079.6284410520475,1175.673807293394,6255.3022483454415,8847.04370036835,50,23920,Qwen/Qwen2.5-14B-Instruct,1,2.99,7531467.589981133
sglang,NVIDIA H100 80GB HBM3,bf16,2048,50,4000,1000,2.440493424942037,5044.451099486691,1167.5320544922706,6211.983153978962,8785.776329791333,50,23920,Qwen/Qwen2.5-14B-Instruct,1,2.99,7479310.820844235
sglang,NVIDIA H100 80GB HBM3,fp8,2048,50,4000,1000,1.8316268833129745,3785.936135270252,876.2503009769271,4662.18643624718,6593.856779926708,50,23920,Qwen/Qwen2.5-32B-Instruct,1,2.99,5613334.839628711
sglang,NVIDIA H100 80GB HBM3,fp8,4096,50,4000,1000,1.8064473721636514,3733.890589314824,864.2044228430908,4598.095012157915,6503.210539789145,50,23920,Qwen/Qwen2.5-32B-Instruct,1,2.99,5536167.907614881
sglang,NVIDIA H100 80GB HBM3,fp8,8192,50,4000,1000,1.7863968916729052,3692.446647150062,854.6122729763179,4547.058920126379,6431.028810022459,50,23920,Qwen/Qwen2.5-32B-Instruct,1,2.99,5474719.770051828
sglang,NVIDIA H100 80GB HBM3,fp8,16384,50,4000,1000,1.7389697595624392,3594.4157136203708,831.9231329746709,4426.338846595041,6260.291134424781,50,23920,Qwen/Qwen2.5-32B-Instruct,1,2.99,5329371.186535835
sglang,NVIDIA H100 80GB HBM3,fp8,32768,50,4000,1000,1.701354333183966,3516.665379604594,813.9279129952093,4330.593292599803,6124.875599462278,50,23920,Qwen/Qwen2.5-32B-Instruct,1,2.99,5214092.258648592
